"Smarter Balanced Growth Report, Trend",,,,,,,,,,,,,,,,,,,,,
"All Districts, ELA and Math, All Grades, All Students",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,Number ofMatched Students,,,,,,Growth Rate,,,,,,Average Percentageof Target Achieved,,,,,
,,,,School Year,,,,,,School Year,,,,,,School Year,,,,,
District Code,District,Grade,Subject,2015-16,2016-17,2017-18,2018-19,2021-22,2022-23,2015-16,2016-17,2017-18,2018-19,2021-22,2022-23,2015-16,2016-17,2017-18,2018-19,2021-22,2022-23
2630013,Odyssey Community School District,5,Math,36,37,37,37,33,37,0.00%,21.60%,16.20%,54.10%,60.60%,27.00%,11.60%,42.50%,39.70%,77.70%,81.20%,52.50%
2630013,Odyssey Community School District,6,ELA,33,36,37,35,36,33,48.50%,33.30%,18.90%,51.40%,47.20%,42.40%,72.40%,52.80%,40.00%,72.90%,73.90%,62.90%
2630013,Odyssey Community School District,6,Math,33,36,37,35,35,33,48.50%,61.10%,29.70%,34.30%,57.10%,60.60%,62.10%,79.50%,51.20%,56.00%,81.40%,79.00%
2630013,Odyssey Community School District,7,ELA,31,36,37,33,34,38,41.90%,22.20%,37.80%,42.40%,23.50%,34.20%,70.30%,39.80%,65.90%,59.90%,43.60%,52.60%
2630013,Odyssey Community School District,7,Math,31,36,37,33,34,38,67.70%,44.40%,45.90%,48.50%,52.90%,47.40%,92.40%,61.30%,58.00%,64.20%,70.40%,63.60%
2630013,Odyssey Community School District,8,ELA,37,30,32,36,31,33,18.90%,16.70%,46.90%,22.20%,22.60%,27.30%,41.30%,35.30%,69.90%,38.90%,34.30%,50.20%
2630013,Odyssey Community School District,8,Math,37,30,32,36,31,33,27.00%,13.30%,43.80%,41.70%,38.70%,36.40%,39.50%,21.50%,61.90%,53.60%,48.20%,49.50%
1060011,Old Saybrook School District,4,ELA,99,85,64,99,60,76,39.40%,50.60%,50.00%,71.70%,60.00%,48.70%,68.90%,76.90%,68.20%,90.80%,79.60%,72.50%
1060011,Old Saybrook School District,4,Math,98,84,63,99,60,76,73.50%,52.40%,60.30%,76.80%,46.70%,28.90%,100.00%,81.10%,88.50%,97.50%,75.90%,58.50%
1060011,Old Saybrook School District,5,ELA,83,95,82,67,74,60,42.20%,45.30%,30.50%,56.70%,37.80%,46.70%,61.50%,68.70%,53.90%,80.20%,57.90%,71.10%
1060011,Old Saybrook School District,5,Math,87,95,82,67,73,60,54.00%,47.40%,64.60%,73.10%,74.00%,65.00%,80.40%,69.30%,85.50%,95.00%,96.30%,84.00%
1060011,Old Saybrook School District,6,ELA,98,89,90,81,70,79,46.90%,53.90%,30.00%,71.60%,47.10%,55.70%,63.70%,72.10%,47.30%,84.90%,69.00%,76.90%
1060011,Old Saybrook School District,6,Math,98,89,89,81,70,79,27.60%,29.20%,20.20%,55.60%,47.10%,41.80%,47.40%,49.10%,37.70%,77.60%,73.90%,62.10%
1060011,Old Saybrook School District,7,ELA,104,96,85,92,94,68,39.40%,28.10%,34.10%,54.30%,38.30%,38.20%,56.50%,44.20%,51.30%,72.70%,58.40%,60.40%
1060011,Old Saybrook School District,7,Math,105,96,85,91,92,67,64.80%,57.30%,61.20%,51.60%,69.60%,47.80%,86.40%,77.00%,78.10%,73.70%,85.90%,70.60%
1060011,Old Saybrook School District,8,ELA,117,104,95,93,73,95,57.30%,39.40%,33.70%,50.50%,49.30%,42.10%,74.70%,54.90%,49.50%,64.80%,69.20%,57.90%
1060011,Old Saybrook School District,8,Math,115,105,95,92,72,93,28.70%,38.10%,32.60%,52.20%,34.70%,19.40%,43.10%,48.90%,46.80%,62.70%,46.50%,27.90%
1070011,Orange School District,4,ELA,158,170,142,166,166,158,58.20%,48.80%,53.50%,51.20%,49.40%,44.30%,82.70%,73.50%,75.60%,72.10%,72.00%,68.30%
1070011,Orange School District,4,Math,158,170,141,166,166,157,40.50%,54.70%,54.60%,53.00%,55.40%,41.40%,72.30%,84.20%,83.10%,79.60%,79.60%,70.40%
1070011,Orange School District,5,ELA,159,163,173,154,177,167,50.30%,53.40%,50.90%,51.30%,54.20%,50.90%,71.90%,74.40%,73.70%,71.90%,76.60%,76.20%
1070011,Orange School District,5,Math,161,163,173,151,177,166,49.70%,66.30%,48.00%,43.70%,46.30%,48.80%,71.80%,86.70%,66.60%,66.30%,68.70%,68.00%
1070011,Orange School District,6,ELA,192,166,168,175,155,181,53.10%,62.00%,50.00%,55.40%,55.50%,49.20%,68.60%,76.50%,66.20%,74.70%,70.60%,64.50%
1070011,Orange School District,6,Math,195,166,168,175,155,181,58.50%,69.90%,55.40%,65.10%,69.70%,69.10%,77.70%,89.20%,75.20%,83.40%,87.60%,87.00%
1080011,Oxford School District,4,ELA,147,145,126,122,105,112,40.80%,37.20%,45.20%,35.20%,48.60%,36.60%,62.40%,62.50%,73.50%,60.00%,70.90%,62.50%
1080011,Oxford School District,4,Math,147,145,125,122,105,112,41.50%,52.40%,52.00%,49.20%,68.60%,56.30%,71.80%,79.40%,79.80%,80.30%,90.70%,85.30%
1080011,Oxford School District,5,ELA,166,147,146,131,121,111,42.80%,41.50%,37.00%,47.30%,62.00%,64.00%,65.10%,64.60%,57.00%,69.80%,83.10%,85.80%
1080011,Oxford School District,5,Math,165,147,146,130,120,111,44.80%,38.80%,53.40%,56.20%,65.80%,60.40%,68.20%,63.30%,77.60%,79.80%,85.70%,77.10%
1080011,Oxford School District,6,ELA,147,166,151,147,120,128,23.10%,28.90%,38.40%,39.50%,30.80%,21.10%,36.40%,44.10%,56.70%,59.50%,44.90%,31.80%
1080011,Oxford School District,6,Math,147,166,151,147,119,127,40.80%,27.10%,24.50%,12.90%,21.80%,17.30%,67.70%,46.20%,46.70%,25.20%,35.50%,31.20%
1080011,Oxford School District,7,ELA,157,153,166,149,124,120,48.40%,44.40%,47.00%,43.60%,26.60%,35.00%,65.40%,60.80%,69.90%,68.40%,47.10%,56.00%
1080011,Oxford School District,7,Math,157,152,166,149,124,119,69.40%,26.30%,40.40%,50.30%,43.50%,44.50%,87.40%,46.20%,61.60%,70.70%,61.20%,63.50%
1080011,Oxford School District,8,ELA,159,156,149,164,128,128,39.60%,38.50%,37.60%,42.10%,30.50%,27.30%,55.70%,55.40%,52.20%,57.70%,50.80%,44.40%
1080011,Oxford School District,8,Math,159,156,146,164,127,125,43.40%,28.80%,39.00%,41.50%,42.50%,21.60%,58.60%,42.00%,53.50%,58.70%,61.20%,38.80%
2830013,Park City Prep Charter School District,4,ELA,*,*,*,*,*,24,*,*,*,*,*,50.00%,*,*,*,*,*,80.40%
2830013,Park City Prep Charter School District,4,Math,*,*,*,*,*,24,*,*,*,*,*,58.30%,*,*,*,*,*,87.00%
2830013,Park City Prep Charter School District,5,ELA,88,96,95,97,79,73,47.70%,37.50%,35.80%,42.30%,70.90%,63.00%,73.00%,68.80%,59.20%,72.90%,94.10%,83.00%
2830013,Park City Prep Charter School District,5,Math,88,96,95,96,72,73,63.60%,53.10%,38.90%,69.80%,84.70%,64.40%,85.10%,78.00%,61.10%,94.60%,100.00%,82.40%
2830013,Park City Prep Charter School District,6,ELA,88,87,89,91,81,88,36.40%,21.80%,24.70%,47.30%,50.60%,29.50%,60.30%,40.10%,41.00%,66.40%,70.60%,49.80%
2830013,Park City Prep Charter School District,6,Math,87,86,89,90,81,85,50.60%,7.00%,22.50%,58.90%,37.00%,36.50%,73.10%,24.30%,38.10%,77.00%,50.60%,62.70%
2830013,Park City Prep Charter School District,7,ELA,80,81,83,84,72,88,58.80%,54.30%,54.20%,73.80%,61.10%,52.30%,81.00%,77.60%,79.90%,91.60%,79.50%,77.60%
2830013,Park City Prep Charter School District,7,Math,80,79,82,82,71,82,47.50%,45.60%,70.70%,64.60%,60.60%,70.70%,68.80%,71.00%,88.00%,84.10%,78.60%,86.60%
2830013,Park City Prep Charter School District,8,ELA,81,75,76,74,78,77,43.20%,26.70%,21.10%,50.00%,47.40%,32.50%,69.70%,43.30%,37.10%,71.60%,64.70%,47.00%
2830013,Park City Prep Charter School District,8,Math,81,74,74,73,66,76,67.90%,24.30%,58.10%,53.40%,56.10%,46.10%,80.70%,41.20%,74.40%,64.70%,74.40%,63.40%
1090011,Plainfield School District,4,ELA,158,160,149,136,149,122,38.60%,35.60%,34.20%,33.10%,30.20%,50.80%,64.30%,56.90%,59.00%,59.90%,55.40%,77.10%
1090011,Plainfield School District,4,Math,158,160,149,136,148,122,37.30%,30.60%,40.30%,36.00%,47.30%,67.20%,71.40%,55.60%,67.80%,70.40%,76.20%,94.50%
1090011,Plainfield School District,5,ELA,150,161,161,153,130,146,36.00%,36.00%,38.50%,41.20%,50.00%,68.50%,60.10%,62.70%,59.60%,68.40%,76.00%,88.70%
1090011,Plainfield School District,5,Math,151,161,161,153,131,146,39.70%,46.60%,47.20%,44.40%,56.50%,50.00%,65.80%,68.80%,66.20%,65.00%,78.10%,70.30%
1090011,Plainfield School District,6,ELA,150,152,165,159,132,123,64.00%,59.20%,50.90%,57.20%,37.10%,29.30%,87.80%,79.80%,69.50%,77.00%,57.20%,44.60%
1090011,Plainfield School District,6,Math,150,152,165,160,132,123,72.70%,58.60%,44.80%,46.90%,47.00%,44.70%,93.60%,79.00%,67.90%,67.70%,70.80%,65.90%
1090011,Plainfield School District,7,ELA,171,149,152,157,134,142,50.30%,22.80%,26.30%,33.10%,50.00%,37.30%,70.30%,35.70%,41.90%,48.10%,71.40%,62.10%
1090011,Plainfield School District,7,Math,170,149,152,157,133,141,56.50%,30.90%,19.10%,33.10%,25.60%,37.60%,77.10%,45.10%,31.90%,51.30%,44.40%,59.80%
1090011,Plainfield School District,8,ELA,173,163,151,154,144,136,50.30%,35.60%,40.40%,40.30%,27.80%,26.50%,71.70%,51.00%,60.80%,53.50%,43.60%,41.90%
1090011,Plainfield School District,8,Math,170,163,151,154,143,135,74.10%,42.30%,37.70%,29.20%,26.60%,31.90%,89.70%,56.60%,52.80%,43.70%,43.20%,47.60%
1100011,Plainville School District,4,ELA,167,157,164,150,123,172,38.90%,38.90%,54.90%,56.00%,39.80%,56.40%,65.30%,65.20%,80.90%,78.70%,65.50%,78.40%
1100011,Plainville School District,4,Math,167,157,163,150,122,171,27.50%,26.80%,47.20%,44.70%,42.60%,49.10%,61.20%,55.20%,75.30%,74.00%,74.80%,77.00%
1100011,Plainville School District,5,ELA,161,166,162,171,190,134,37.90%,33.10%,40.70%,30.40%,24.70%,36.60%,65.50%,54.20%,61.90%,52.80%,47.60%,60.40%
1100011,Plainville School District,5,Math,159,166,162,171,188,134,34.00%,36.70%,50.00%,36.80%,37.80%,42.50%,60.30%,61.80%,73.10%,57.70%,61.10%,63.10%
1100011,Plainville School District,6,ELA,187,164,165,161,169,187,39.60%,35.40%,55.20%,47.80%,43.80%,37.40%,60.20%,55.00%,71.90%,66.80%,61.80%,56.90%
1100011,Plainville School District,6,Math,187,163,164,161,168,187,36.90%,41.10%,56.10%,34.80%,34.50%,50.30%,57.60%,59.10%,73.70%,50.00%,54.10%,72.20%
1100011,Plainville School District,7,ELA,177,184,168,168,162,165,51.40%,38.00%,28.60%,45.20%,25.90%,27.30%,70.50%,57.80%,45.90%,58.60%,42.00%,44.70%
1100011,Plainville School District,7,Math,178,184,168,168,163,164,37.60%,31.50%,35.70%,33.30%,42.30%,50.60%,59.80%,45.30%,54.90%,49.30%,56.10%,65.00%
1100011,Plainville School District,8,ELA,164,177,183,176,174,161,46.30%,28.80%,48.10%,42.00%,43.70%,49.10%,67.60%,48.20%,66.70%,62.90%,59.10%,68.80%
1100011,Plainville School District,8,Math,165,176,183,176,174,161,63.00%,51.70%,80.90%,70.50%,46.00%,78.90%,80.80%,70.40%,96.60%,86.40%,64.00%,93.40%
1110011,Plymouth School District,4,ELA,120,87,113,94,91,98,44.20%,47.10%,40.70%,31.90%,31.90%,22.40%,65.00%,77.00%,66.80%,54.00%,61.10%,53.10%
1110011,Plymouth School District,4,Math,120,87,113,94,91,98,37.50%,42.50%,38.90%,24.50%,29.70%,42.90%,76.00%,72.30%,68.10%,53.40%,59.20%,76.40%
1110011,Plymouth School District,5,ELA,101,126,98,113,70,98,59.40%,35.70%,37.80%,46.00%,40.00%,29.60%,83.00%,59.80%,61.80%,67.50%,62.00%,49.10%
1110011,Plymouth School District,5,Math,102,126,97,113,70,97,59.80%,55.60%,59.80%,32.70%,41.40%,36.10%,81.60%,72.80%,81.60%,59.10%,59.30%,63.00%
1110011,Plymouth School District,6,ELA,108,104,128,97,92,69,26.90%,12.50%,16.40%,51.50%,32.60%,23.20%,44.10%,25.80%,29.70%,67.90%,50.60%,39.80%
1110011,Plymouth School District,6,Math,108,104,128,97,91,69,40.70%,10.60%,20.30%,37.10%,52.70%,36.20%,62.20%,29.00%,34.20%,56.60%,72.70%,58.00%
1110011,Plymouth School District,7,ELA,109,108,111,127,92,93,45.00%,33.30%,32.40%,59.10%,44.60%,43.00%,63.20%,50.80%,50.90%,81.70%,61.00%,60.70%
1110011,Plymouth School District,7,Math,111,108,110,127,90,91,53.20%,50.00%,60.00%,74.00%,63.30%,47.30%,71.60%,72.00%,81.20%,92.90%,80.60%,66.70%
1110011,Plymouth School District,8,ELA,98,112,106,110,105,105,44.90%,28.60%,20.80%,50.90%,28.60%,30.50%,66.20%,49.10%,38.20%,70.00%,45.30%,49.40%
1110011,Plymouth School District,8,Math,98,112,106,110,105,105,60.20%,42.00%,25.50%,46.40%,36.20%,18.10%,77.60%,59.20%,38.90%,63.30%,53.10%,29.10%
1120011,Pomfret School District,4,ELA,35,37,35,39,22,35,42.90%,27.00%,34.30%,56.40%,45.50%,51.40%,73.20%,59.50%,61.40%,68.20%,53.80%,73.50%
1120011,Pomfret School District,4,Math,35,37,35,39,22,35,57.10%,29.70%,37.10%,64.10%,50.00%,62.90%,83.10%,53.90%,62.20%,85.30%,79.80%,80.80%
1120011,Pomfret School District,5,ELA,48,34,39,35,29,28,52.10%,20.60%,48.70%,34.30%,58.60%,53.60%,74.40%,46.00%,75.70%,58.10%,74.70%,67.90%
1120011,Pomfret School District,5,Math,48,34,40,35,29,28,50.00%,32.40%,50.00%,28.60%,62.10%,60.70%,73.60%,61.70%,67.10%,52.90%,90.60%,83.80%
1120011,Pomfret School District,6,ELA,46,48,37,44,43,34,41.30%,31.30%,56.80%,50.00%,51.20%,32.40%,58.80%,51.70%,76.80%,65.60%,68.40%,57.10%
1120011,Pomfret School District,6,Math,46,47,37,44,43,35,54.30%,66.00%,21.60%,52.30%,30.20%,54.30%,73.40%,80.70%,39.40%,69.30%,47.80%,74.90%
1120011,Pomfret School District,7,ELA,44,40,47,39,44,42,61.40%,45.00%,63.80%,41.00%,40.90%,40.50%,74.60%,63.70%,86.70%,64.10%,59.10%,52.40%
1120011,Pomfret School District,7,Math,44,40,46,39,44,42,50.00%,50.00%,37.00%,56.40%,27.30%,52.40%,68.70%,62.30%,60.10%,70.10%,41.20%,71.80%
1120011,Pomfret School District,8,ELA,48,43,40,48,42,49,58.30%,41.90%,55.00%,18.80%,40.50%,28.60%,71.40%,49.50%,69.70%,30.20%,55.10%,44.80%
1120011,Pomfret School District,8,Math,48,43,40,47,42,49,35.40%,41.90%,40.00%,23.40%,35.70%,36.70%,47.20%,53.50%,57.60%,37.10%,54.70%,51.10%
1130011,Portland School District,4,ELA,91,101,98,85,95,92,40.70%,31.70%,49.00%,35.30%,50.50%,57.60%,68.60%,49.80%,65.30%,58.30%,77.50%,78.30%
1130011,Portland School District,4,Math,91,100,98,85,94,92,31.90%,22.00%,24.50%,32.90%,62.80%,58.70%,67.60%,46.70%,56.50%,65.00%,84.80%,83.00%
1130011,Portland School District,5,ELA,105,93,101,99,101,101,54.30%,35.50%,56.40%,35.40%,34.70%,28.70%,73.60%,52.30%,74.90%,50.80%,60.60%,48.80%
1130011,Portland School District,5,Math,105,93,99,99,99,101,63.80%,52.70%,73.70%,50.50%,52.50%,29.70%,86.20%,77.00%,94.60%,72.10%,75.80%,47.10%
1130011,Portland School District,6,ELA,103,107,88,100,97,105,54.40%,41.10%,36.40%,32.00%,53.60%,41.00%,68.50%,58.00%,53.00%,49.40%,70.80%,60.00%
1130011,Portland School District,6,Math,103,107,88,100,97,105,61.20%,51.40%,63.60%,50.00%,74.20%,49.50%,80.10%,73.00%,83.00%,71.90%,94.30%,68.20%
1130011,Portland School District,7,ELA,104,104,105,85,90,102,50.00%,49.00%,49.50%,47.10%,34.40%,45.10%,65.70%,63.20%,65.80%,68.90%,49.60%,62.70%
1130011,Portland School District,7,Math,104,104,105,85,90,101,44.20%,38.50%,38.10%,54.10%,23.30%,24.80%,62.30%,53.20%,57.00%,71.60%,31.90%,36.70%
1130011,Portland School District,8,ELA,105,102,104,105,99,88,43.80%,36.30%,45.20%,46.70%,30.30%,38.60%,63.10%,48.70%,55.80%,61.10%,42.60%,55.60%
1130011,Portland School District,8,Math,105,102,104,104,97,87,34.30%,42.20%,36.50%,51.00%,28.90%,48.30%,55.90%,54.50%,54.20%,63.80%,40.50%,65.10%
1140011,Preston School District,4,ELA,37,46,45,38,44,50,64.90%,50.00%,44.40%,44.70%,43.20%,46.00%,83.20%,75.70%,70.50%,66.10%,68.80%,70.40%
1140011,Preston School District,4,Math,37,46,45,38,44,50,54.10%,43.50%,44.40%,36.80%,29.50%,28.00%,80.10%,70.70%,75.80%,65.20%,56.90%,60.60%
1140011,Preston School District,5,ELA,40,39,50,40,37,44,40.00%,25.60%,42.00%,52.50%,62.20%,47.70%,68.80%,53.80%,65.60%,72.80%,89.50%,75.90%
1140011,Preston School District,5,Math,40,39,50,40,37,44,32.50%,41.00%,40.00%,32.50%,37.80%,54.50%,49.00%,68.00%,60.40%,58.20%,57.20%,77.90%
1140011,Preston School District,6,ELA,38,43,42,50,40,36,36.80%,37.20%,28.60%,22.00%,47.50%,27.80%,60.40%,49.80%,43.90%,43.00%,60.40%,50.50%
1140011,Preston School District,6,Math,37,43,42,50,40,36,40.50%,48.80%,26.20%,44.00%,37.50%,30.60%,70.10%,75.50%,53.60%,66.00%,59.10%,54.10%
1140011,Preston School District,7,ELA,57,36,47,40,35,41,17.50%,50.00%,21.30%,50.00%,60.00%,46.30%,29.60%,64.00%,40.40%,72.00%,74.70%,66.50%
1140011,Preston School District,7,Math,57,36,46,40,35,41,42.10%,50.00%,23.90%,42.50%,28.60%,41.50%,58.90%,69.70%,34.10%,73.40%,52.80%,65.20%
1140011,Preston School District,8,ELA,43,56,38,46,44,37,34.90%,37.50%,26.30%,32.60%,43.20%,37.80%,49.40%,63.10%,38.70%,52.50%,55.30%,51.20%
1140011,Preston School District,8,Math,43,56,38,46,44,38,44.20%,26.80%,31.60%,43.50%,31.80%,57.90%,58.50%,36.00%,41.70%,55.80%,45.10%,76.70%
1160011,Putnam School District,4,ELA,74,76,86,71,81,92,50.00%,36.80%,31.40%,21.10%,13.60%,26.10%,72.80%,68.70%,58.90%,40.10%,36.60%,58.00%
1160011,Putnam School District,4,Math,72,76,86,71,80,92,79.20%,39.50%,34.90%,18.30%,20.00%,18.50%,99.60%,73.30%,65.60%,47.80%,52.40%,48.90%
1160011,Putnam School District,5,ELA,86,76,80,86,70,87,26.70%,34.20%,30.00%,29.10%,28.60%,35.60%,47.80%,57.20%,54.60%,54.90%,57.40%,62.50%
1160011,Putnam School District,5,Math,87,75,81,86,68,85,43.70%,30.70%,11.10%,38.40%,47.10%,17.60%,63.70%,41.20%,36.00%,65.00%,64.50%,44.10%
1160011,Putnam School District,6,ELA,77,85,75,80,63,71,44.20%,42.40%,46.70%,27.50%,33.30%,14.10%,66.70%,63.70%,63.40%,44.80%,55.00%,27.40%
1160011,Putnam School District,6,Math,76,76,74,80,63,70,34.20%,40.80%,36.50%,16.30%,44.40%,27.10%,60.50%,63.40%,56.70%,30.30%,62.90%,42.20%
1160011,Putnam School District,7,ELA,80,78,90,75,65,61,67.50%,46.20%,43.30%,53.30%,29.20%,21.30%,85.40%,67.70%,65.60%,70.00%,52.70%,29.50%
1160011,Putnam School District,7,Math,81,76,82,73,64,62,43.20%,34.20%,20.70%,32.90%,50.00%,24.20%,67.30%,56.40%,37.30%,47.00%,68.20%,44.60%
1160011,Putnam School District,8,ELA,78,82,73,96,74,72,32.10%,31.70%,35.60%,30.20%,33.80%,22.20%,49.30%,44.20%,53.20%,46.70%,47.40%,34.50%
1160011,Putnam School District,8,Math,79,81,71,95,72,71,44.30%,32.10%,42.30%,34.70%,41.70%,22.50%,60.70%,45.20%,57.10%,54.50%,59.00%,42.10%
1170011,Redding School District,4,ELA,85,94,91,76,86,72,63.50%,64.90%,68.10%,57.90%,74.40%,50.00%,86.40%,82.90%,88.90%,75.00%,94.40%,72.70%
1170011,Redding School District,4,Math,85,94,91,76,86,70,65.90%,52.10%,62.60%,68.40%,73.30%,45.70%,92.50%,76.70%,80.90%,87.80%,98.10%,74.90%
1170011,Redding School District,5,ELA,94,87,93,87,93,90,33.00%,34.50%,48.40%,47.10%,45.20%,45.60%,49.50%,47.70%,66.50%,61.30%,64.30%,60.60%
1170011,Redding School District,5,Math,94,87,93,87,92,90,34.00%,36.80%,47.30%,37.90%,56.50%,42.20%,52.70%,50.90%,69.40%,52.20%,79.60%,58.10%
1170011,Redding School District,6,ELA,119,97,90,93,64,94,47.10%,30.90%,43.30%,45.20%,42.20%,43.60%,64.50%,43.40%,58.20%,62.60%,58.60%,55.70%
1170011,Redding School District,6,Math,120,97,89,93,63,94,48.30%,51.50%,57.30%,57.00%,60.30%,55.30%,67.60%,69.70%,74.50%,77.60%,76.90%,74.00%
1170011,Redding School District,7,ELA,106,119,100,91,66,71,64.20%,37.00%,73.00%,59.30%,43.90%,59.20%,81.80%,54.30%,87.40%,78.30%,60.50%,75.60%
1170011,Redding School District,7,Math,109,119,100,89,66,69,62.40%,61.30%,69.00%,71.90%,72.70%,62.30%,81.30%,80.10%,82.60%,86.00%,84.10%,80.80%
1170011,Redding School District,8,ELA,98,114,121,99,77,77,50.00%,27.20%,30.60%,38.40%,29.90%,49.40%,63.90%,41.70%,46.10%,53.20%,48.20%,66.50%
1170011,Redding School District,8,Math,88,114,120,99,77,76,70.50%,41.20%,55.00%,55.60%,41.60%,43.40%,84.30%,58.00%,72.10%,68.90%,52.40%,58.30%
2010012,Regional School District 01,4,ELA,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2010012,Regional School District 01,4,Math,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2010012,Regional School District 01,5,ELA,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2010012,Regional School District 01,5,Math,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2010012,Regional School District 01,6,ELA,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2010012,Regional School District 01,6,Math,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2010012,Regional School District 01,7,ELA,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2010012,Regional School District 01,7,Math,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2010012,Regional School District 01,8,ELA,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2010012,Regional School District 01,8,Math,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2040012,Regional School District 04,6,ELA,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2040012,Regional School District 04,6,Math,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2040012,Regional School District 04,7,ELA,145,174,133,139,113,*,31.00%,36.20%,37.60%,30.90%,23.00%,23.80%,46.70%,52.20%,50.80%,47.30%,36.20%,33.60%
2040012,Regional School District 04,7,Math,145,172,133,139,112,*,31.00%,40.10%,34.60%,35.30%,32.10%,25.50%,48.10%,54.30%,49.10%,50.60%,49.10%,34.10%
2040012,Regional School District 04,8,ELA,155,144,177,133,109,116,53.50%,45.10%,48.60%,39.80%,37.60%,33.60%,67.70%,59.70%,64.70%,50.20%,54.70%,50.70%
2040012,Regional School District 04,8,Math,155,142,174,132,107,117,51.00%,55.60%,51.70%,44.70%,38.30%,39.30%,69.00%,73.20%,66.50%,60.70%,52.20%,54.30%
2050012,Regional School District 05,7,ELA,357,366,307,320,333,327,52.70%,43.20%,59.90%,55.90%,52.90%,50.80%,69.30%,61.50%,76.20%,73.60%,67.30%,66.50%
2050012,Regional School District 05,7,Math,357,366,306,318,329,325,54.10%,55.50%,64.10%,62.30%,58.10%,59.40%,71.40%,71.60%,79.00%,76.70%,71.50%,75.60%
2050012,Regional School District 05,8,ELA,357,364,374,310,340,346,49.00%,46.70%,58.30%,40.30%,36.50%,37.30%,69.40%,61.70%,73.40%,53.20%,51.50%,49.30%
2050012,Regional School District 05,8,Math,357,364,373,309,332,342,62.20%,60.70%,61.10%,61.80%,55.40%,50.90%,76.70%,73.10%,76.40%,74.00%,70.50%,63.40%
2060012,Regional School District 06,4,ELA,33,52,40,50,47,42,57.60%,38.50%,52.50%,52.00%,36.20%,42.90%,80.60%,61.50%,73.90%,70.60%,55.60%,69.20%
2060012,Regional School District 06,4,Math,33,52,40,50,47,42,42.40%,38.50%,67.50%,46.00%,57.40%,61.90%,68.80%,70.40%,88.60%,78.20%,82.30%,82.90%
2060012,Regional School District 06,5,ELA,51,36,51,40,45,50,47.10%,41.70%,54.90%,50.00%,51.10%,48.00%,68.90%,63.50%,79.30%,66.40%,81.80%,68.70%
2060012,Regional School District 06,5,Math,51,36,51,40,45,50,39.20%,25.00%,43.10%,42.50%,42.20%,48.00%,65.50%,51.10%,67.90%,59.20%,63.50%,66.10%
2060012,Regional School District 06,6,ELA,44,50,33,51,48,45,52.30%,42.00%,60.60%,43.10%,39.60%,33.30%,68.10%,58.30%,76.70%,53.80%,56.40%,46.60%
2060012,Regional School District 06,6,Math,44,48,33,51,47,44,61.40%,39.60%,51.50%,60.80%,53.20%,65.90%,78.60%,64.10%,79.30%,79.10%,67.00%,86.90%
2060012,Regional School District 06,7,ELA,48,47,52,33,60,47,39.60%,29.80%,57.70%,33.30%,48.30%,51.10%,53.30%,43.70%,78.90%,55.00%,66.20%,69.60%
2060012,Regional School District 06,7,Math,48,47,49,33,59,46,45.80%,42.60%,59.20%,60.60%,37.30%,71.70%,61.00%,65.90%,78.50%,78.30%,60.80%,86.90%
2060012,Regional School District 06,8,ELA,68,41,47,59,43,64,38.20%,34.10%,42.60%,35.60%,34.90%,34.40%,54.50%,43.80%,63.20%,52.00%,47.80%,51.40%
2060012,Regional School District 06,8,Math,66,43,45,58,43,63,22.70%,44.20%,44.40%,41.40%,37.20%,66.70%,37.00%,57.70%,57.50%,57.30%,48.30%,82.10%
2070012,Regional School District 07,7,ELA,163,145,133,130,105,136,38.70%,37.20%,48.90%,56.20%,38.10%,37.50%,54.30%,51.60%,65.40%,72.10%,54.10%,58.80%
2070012,Regional School District 07,7,Math,162,145,132,129,103,136,54.90%,59.30%,44.70%,43.40%,45.60%,63.20%,71.50%,81.00%,61.00%,58.70%,62.40%,82.70%
2070012,Regional School District 07,8,ELA,126,171,153,135,115,110,57.90%,42.10%,52.90%,45.90%,52.20%,53.60%,76.00%,55.60%,67.60%,59.70%,69.10%,66.10%
2070012,Regional School District 07,8,Math,124,171,152,134,113,108,65.30%,33.90%,44.10%,36.60%,43.40%,59.30%,82.80%,47.00%,58.80%,51.90%,60.30%,74.80%
2080012,Regional School District 08,7,ELA,277,224,224,238,175,175,40.10%,34.80%,39.30%,39.50%,35.40%,24.00%,56.30%,51.70%,54.20%,55.40%,51.60%,40.70%
